seller,mean_pricing_gap,pricing_gap_variance,extreme_pricing_count,transaction_count,log_pricing_gap_variance,log_extreme_pricing_count,cluster
autonation toyota pinellas park,-72.9779411764706,667778.2883986927,0,136,13.411712991333717,0.0,0
autonation toyota scion leesburg,-323.0769230769231,1170596.153846154,0,26,13.97302456447303,0.0,0
autonation toyota scion weston,-526.8055555555555,1207807.475946617,2,180,14.004318098505282,1.0986122886681098,0
autonation toyota thornton road,-900.0,2075208.3333333333,0,13,14.545572590092672,0.0,0
autonation toyota winter park,-378.6764705882353,796612.032744132,1,204,13.58812431005798,0.6931471805599453,0
autonation volkswagen mall of georgia,216.66666666666666,879710.1449275361,0,24,13.687348888169877,0.0,0
autonet trading,768.421052631579,2833069.7838345864,0,57,14.856871763969844,0.0,2
autopay,-788.2352941176471,628433.8235294118,0,51,13.350987600011207,0.0,0
autosport miami inc,296.42857142857144,1173928.5714285714,0,14,13.97586728730542,0.0,0
autosport usa,932.03125,7256140.252976192,3,64,15.797358737646089,1.3862943611198906,2
aventura honda,-148.07692307692307,866818.9102564101,0,13,13.672586518219498,0.0,0
avid acceptance llc,-610.2564102564103,2426668.353576248,1,39,14.702030238747106,0.6931471805599453,2
avis budget group,-14.777376654632972,3511792.5900513683,67,4155,15.07163745924554,4.219507705176107,1
avis corporation,39.58721994595066,746660.1587172167,38,11471,13.523366758417891,3.6635616461296463,1
avis rac/san leandro,441.9573643410853,734685.3940401343,1,774,13.507199012368064,0.6931471805599453,0
avis rent a car/barbush rentals,-216.66666666666666,266309.5238095238,0,15,12.492418289645006,0.0,0
award auto sales and leasing inc,271.3414634146341,1763955.030487805,0,41,14.383069589210894,0.0,2
awn sales ltd,295.45454545454544,1493227.2727272727,0,11,14.216450960163748,0.0,2
axcess financial,-1010.15625,1459270.7648026326,3,96,14.193448078015718,1.3862943611198906,1
b & j car company,711.875,2075832.9326923073,0,40,14.545873526182064,0.0,2
b & y used cars,-1137.5,744756.9444444445,0,10,13.520814537782071,0.0,0
b a motor co ltd,-630.3571428571429,2677613.324175824,0,14,14.800436778497385,0.0,2
baileys truck & auto sales,1822.9166666666667,2715506.628787879,1,12,14.814489465802337,0.6931471805599453,2
balboa thrift & loan association,-229.3859649122807,1323641.1340852135,0,57,14.09589768746734,0.0,0
bank of america,-217.21611721611723,3587090.6761434283,14,546,15.092852314075591,2.70805020110221,1
bank of america/select repo,411.95652173913044,2551242.5889328066,0,23,14.752091480190856,0.0,2
bank of hawaii,-1207.2115384615386,2725302.3661387633,1,52,14.818090306906488,0.6931471805599453,1
bank of the west,-561.6822429906542,3837032.049021336,4,107,15.160209982437067,1.6094379124341003,1
barber honda,334.25925925925924,1235343.660968661,0,27,14.026860566816692,0.0,0
barberas autoland,-1456.25,2432627.840909091,0,12,14.704483058097626,0.0,0
barco fleet services,-1018.5185185185185,3907858.1411600285,1,54,15.178500247779771,0.6931471805599453,1
barco rent a truck,323.70283018867923,774971.6506080654,0,212,13.560583018174814,0.0,0
bard whls,-207.14285714285714,2573882.275132275,0,28,14.760926318453514,0.0,2
barnett finance company,-376.36986301369865,658748.097412481,0,73,13.398098008684938,0.0,0
barnett w b chrys jeep dodge,205.0,741361.1111111111,0,10,13.516244463875909,0.0,0
barrett transportation services inc,-825.7575757575758,279315.8143939394,0,33,12.540101952032911,0.0,0
bartow ford co,-717.1052631578947,2302225.877192983,0,19,14.649387419964052,0.0,0
basney honda,287.2448979591837,1229664.6471088438,0,49,14.022252858776863,0.0,0
basney imports,-1629.1666666666667,26743844.6969697,1,12,17.101814937433723,0.6931471805599453,1
battlefield kia,615.3225806451613,476736.55913978495,0,31,13.074721427977524,0.0,0
bavarian auto sales llc,115.27777777777777,924726.8081761008,0,54,13.73725471175993,0.0,0
bavarian motor cars usa inc,3368.181818181818,86088136.36363637,2,11,18.27088218247995,1.0986122886681098,2
baxter chrysler jeep dodge,483.95061728395063,1400895.4475308643,0,81,14.152622909333223,0.0,2
baxter ford inc,55.68181818181818,1374341.17965368,0,22,14.133485759808613,0.0,0
baxter volkswagen,723.3333333333334,890488.0952380953,0,15,13.699526135974994,0.0,0
bay ridge honda suzuki kia,-1525.0,11142173.913043479,2,24,16.22624800797167,1.0986122886681098,1
bb&t,-48.4375,5220577.491554054,2,112,15.468118775855293,1.0986122886681098,2
bb&t asset disposal,-21.428571428571427,2146868.556701031,1,98,14.579521318937424,0.6931471805599453,2
beaman motor company,-305.35714285714283,300497.93956043955,0,14,12.613199504034165,0.0,0
beaver toyota of st augustine,-232.85714285714286,492748.94957983197,0,35,13.107757122690927,0.0,0
beck & masten kia of tomball,-891.0714285714286,2160442.9945054944,0,14,14.585824311549025,0.0,0
beck & masten pontiac gmc buick gulf freeway,-413.0952380952381,2629413.6904761908,0,21,14.782271828236029,0.0,2
beck & masten pontiac gmc hummer truck inc,-97.36842105263158,3533067.2119487906,1,38,15.077677233244852,0.6931471805599453,2
bedford auto wholesale,190.97222222222223,1931291.1706349202,0,36,14.473699855317259,0.0,2
behlmann buick gmc cadillac,-482.5,8142229.166666667,1,10,15.912574676703061,0.6931471805599453,1
bell audi,-1230.0,2897078.9473684207,1,20,14.879213872976997,0.6931471805599453,1
bellamy strickland chev gmc,508.46774193548384,1193400.4825489158,0,62,13.992318176359372,0.0,0
bellamy strickland chev olds pon,527.6315789473684,1484587.482219061,0,38,14.210648175464305,0.0,2
